,x,y,bed
438,-1601000.0,-249000.0,-1047.6529998779297
439,-1600500.0,-249000.0,-1077.5083923339844
440,-1600000.0,-249000.0,-1102.3720703125
441,-1599500.0,-249000.0,-1125.4122619628906
442,-1599000.0,-249000.0,-1141.1773529052734
443,-1598500.0,-249000.0,-1154.5505065917969
444,-1598000.0,-249000.0,-1163.4123992919922
445,-1597500.0,-249000.0,-1165.7268371582031
446,-1597000.0,-249000.0,-1170.3156127929688
447,-1596500.0,-249000.0,-1186.5093383789062
448,-1596000.0,-249000.0,-1202.7308807373047
449,-1595500.0,-249000.0,-1214.0279388427734
450,-1595000.0,-249000.0,-1218.4664001464844
451,-1594500.0,-249000.0,-1229.602554321289
452,-1594000.0,-249000.0,-1246.4234313964844
453,-1593500.0,-249000.0,-1261.3731994628906
454,-1593000.0,-249000.0,-1264.9515228271484
455,-1592500.0,-249000.0,-1266.1092224121094
456,-1592000.0,-249000.0,-1269.9992370605469
457,-1591500.0,-249000.0,-1273.4718627929688
458,-1591000.0,-249000.0,-1280.614974975586
459,-1590500.0,-249000.0,-1288.3729095458984
460,-1590000.0,-249000.0,-1287.8373565673828
461,-1589500.0,-249000.0,-1284.8419189453125
462,-1589000.0,-249000.0,-1283.6119537353516
463,-1588500.0,-249000.0,-1277.9567260742188
464,-1588000.0,-249000.0,-1281.632354736328
465,-1587500.0,-249000.0,-1284.9742279052734
466,-1587000.0,-249000.0,-1277.6960754394531
467,-1586500.0,-249000.0,-1264.1017761230469
468,-1586000.0,-249000.0,-1252.9276123046875
469,-1585500.0,-249000.0,-1243.806640625
470,-1585000.0,-249000.0,-1240.8670043945312
471,-1584500.0,-249000.0,-1239.5538940429688
472,-1584000.0,-249000.0,-1232.0108032226562
473,-1583500.0,-249000.0,-1220.637664794922
474,-1583000.0,-249000.0,-1206.8164672851562
475,-1582500.0,-249000.0,-1193.4776306152344
476,-1582000.0,-249000.0,-1182.8302307128906
477,-1581500.0,-249000.0,-1174.1388244628906
478,-1581000.0,-249000.0,-1161.2733154296875
479,-1580500.0,-249000.0,-1150.454833984375
480,-1580000.0,-249000.0,-1144.6905212402344
481,-1579500.0,-249000.0,-1137.86865234375
482,-1579000.0,-249000.0,-1131.7448120117188
483,-1578500.0,-249000.0,-1127.4436950683594
484,-1578000.0,-249000.0,-1123.8844604492188
485,-1577500.0,-249000.0,-1115.7204284667969
486,-1577000.0,-249000.0,-1087.7178649902344
487,-1576500.0,-249000.0,-1054.751434326172
488,-1576000.0,-249000.0,-1026.2875366210938
489,-1575500.0,-249000.0,-995.6123046875
490,-1575000.0,-249000.0,-961.9689331054688
491,-1574500.0,-249000.0,-920.758819580078
492,-1574000.0,-249000.0,-882.8590698242188
493,-1573500.0,-249000.0,-835.9226379394531
494,-1573000.0,-249000.0,-788.2322998046875
495,-1572500.0,-249000.0,-734.1910705566406
496,-1572000.0,-249000.0,-662.4875793457031
497,-1571500.0,-249000.0,-628.23193359375
498,-1571000.0,-249000.0,-624.2118225097656
499,-1570500.0,-249000.0,-610.8040466308594
500,-1570000.0,-249000.0,-583.6614379882812
501,-1569500.0,-249000.0,-563.3015441894531
