,x,y,bedrock_altitude (m)
452,-1593999.8,-248999.72,-738.8590341983926
453,-1593499.8,-248999.72,-771.2585900270617
454,-1592999.8,-248999.72,-758.2011486356894
455,-1592499.8,-248999.72,-942.5790548018474
456,-1591999.8,-248999.72,-910.3157274654601
457,-1591499.8,-248999.72,-930.6939702544971
458,-1590999.8,-248999.72,-966.8452649359426
459,-1590499.8,-248999.72,-1072.0313280777796
460,-1589999.8,-248999.72,-1079.4835008069438
461,-1589499.8,-248999.72,-1171.7119795274398
462,-1588999.8,-248999.72,-1246.2410017103402
463,-1588499.8,-248999.72,-1217.076644189077
464,-1587999.8,-248999.72,-1212.438480949947
465,-1587499.8,-248999.72,-1203.623163133777
466,-1586999.8,-248999.72,-1149.2797512031855
467,-1586499.8,-248999.72,-1234.6148358686582
468,-1585999.8,-248999.72,-1113.3622192039873
469,-1585499.8,-248999.72,-986.010412647217
470,-1584999.8,-248999.72,-1268.1092059997031
471,-1584499.8,-248999.72,-1313.8935776489166
472,-1583999.8,-248999.72,-1306.4679021335423
473,-1583499.8,-248999.72,-1281.3381210365226
474,-1582999.8,-248999.72,-1257.0406845791556
475,-1582499.8,-248999.72,-1250.9499396685603
476,-1581999.8,-248999.72,-1290.4455596240252
477,-1581499.8,-248999.72,-1316.8280536987656
478,-1580999.8,-248999.72,-1305.2880193867188
479,-1580499.8,-248999.72,-1242.9823058711015
480,-1579999.8,-248999.72,-1289.0911834173266
481,-1579499.8,-248999.72,-1280.882318043733
482,-1578999.8,-248999.72,-1286.735843800231
483,-1578499.8,-248999.72,-1290.8800055523527
484,-1577999.8,-248999.72,-1273.4818051791565
485,-1577499.8,-248999.72,-1289.1429428256392
486,-1576999.8,-248999.72,-1276.5392987880891
487,-1576499.8,-248999.72,-1276.7244842677248
488,-1575999.8,-248999.72,-1226.3395608161463
489,-1575499.8,-248999.72,-1252.9572798601077
490,-1574999.8,-248999.72,-1248.2166944209548
491,-1574499.8,-248999.72,-1141.7249787768276
492,-1573999.8,-248999.72,-1136.8599824950832
493,-1573499.8,-248999.72,-1118.9886511502145
494,-1572999.8,-248999.72,-1184.562857894997
495,-1572499.8,-248999.72,-1158.456066127843
496,-1571999.8,-248999.72,-1218.5167952457646
497,-1571499.8,-248999.72,-1147.0168005438275
498,-1570999.8,-248999.72,-1138.4855192769367
499,-1570499.8,-248999.72,-1091.1221433925634
500,-1569999.8,-248999.72,-1084.288993009041
501,-1569499.8,-248999.72,-1099.876022838922
502,-1568999.8,-248999.72,-1130.258388566239
503,-1568499.8,-248999.72,-1162.852230749364
504,-1567999.8,-248999.72,-1143.8919662079593
505,-1567499.8,-248999.72,-1143.7858093068007
506,-1566999.8,-248999.72,-1085.1345102761534
507,-1566499.8,-248999.72,-849.0868099413645
508,-1565999.8,-248999.72,-760.7905141875211
509,-1565499.8,-248999.72,-791.9970244937705
