X,Y,Sum,Count,Bed,simulated,cluster,Norm_Bed
-274000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.9611950112109898
-273000.0,-1799000.0,1145.5966,163.0,7.028199,0.0,0.0,-1.3606501817703247
-272000.0,-1799000.0,3672.9697,66.0,55.651054,0.0,0.0,-1.166106104850769
-271000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.36877958422698726
-270000.0,-1799000.0,0.0,0.0,,1.0,0.0,1.40897695679357
-269000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.44004010147543665
-268000.0,-1799000.0,76746.66,233.0,329.38477,0.0,0.0,0.1229456290602684
-267000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.6563425916394948
-266000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.44104217541244156
-265000.0,-1799000.0,3845.011,64.0,60.078297,0.0,0.0,-1.154518485069275
-264000.0,-1799000.0,5806.498,72.0,80.645805,0.0,0.0,-1.058546781539917
-263000.0,-1799000.0,3325.656,47.0,70.75864,0.0,3.0,-1.1068130731582642
-262000.0,-1799000.0,42181.97,196.0,215.21413,0.0,3.0,-0.48821642994880676
-261000.0,-1799000.0,6374.29,25.0,254.9716,0.0,3.0,-0.30332574248313904
-260000.0,-1799000.0,21055.04,71.0,296.54987,0.0,3.0,-0.06741544604301453
-259000.0,-1799000.0,23033.61,74.0,311.265,0.0,3.0,0.01198359951376915
-258000.0,-1799000.0,2375.06,8.0,296.8825,0.0,3.0,-0.06449095159769058
-257000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.5137133058461829
-256000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.7808046651979191
-255000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.5995372473956959
-254000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.4812770941459085
-253000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.492627626284588
-252000.0,-1799000.0,82856.07,258.0,321.14755,0.0,3.0,0.07409682124853134
-251000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.60991483232323
-250000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.4042617228736247
-249000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.15677935355292383
-248000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.24043638992736616
-247000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.21560635589974564
-246000.0,-1799000.0,23813.8,85.0,280.16235,0.0,3.0,-0.17340019345283508
-245000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.6202832559689759
-244000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.18885434485289077
-243000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.3854427067402269
-242000.0,-1799000.0,31915.89,109.0,292.80634,0.0,3.0,-0.09138711541891098
-241000.0,-1799000.0,6108.81,24.0,254.53375,0.0,3.0,-0.305407851934433
-240000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.6025849547424061
-239000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.1510972177292566
-238000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.4560752694757558
-237000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.6076010573896102
-236000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.20327624313205134
-235000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.32971368720905847
-234000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.25805441501598436
-233000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.6013310698560933
-232000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.21858453875928788
-231000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.5650098817224725
-230000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.12019628245024092
-229000.0,-1799000.0,0.0,0.0,,1.0,3.0,-0.0037215752337479424
-228000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.0846734561297226
-227000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.6137380359760962
-226000.0,-1799000.0,85455.22,197.0,433.78284,0.0,3.0,0.93440842628479
-225000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.6903572471206516
-224000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.062041972425024794
-223000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.5791972261379408
-222000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.6343369123662206
